Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
HP,13.3,1920x1080,Intel,8,512GB,Windows 10,58767.84,Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,279,619,164,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
Acer,15.6,1366x768,Intel,4,1TB,Windows 10,20459.52,Regular,HD Graphics 620,Core i3 7100U 2.4GHz,HDD,107,375,677,260,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,270,282
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,40908.38,Full HD ,Radeon 520,Core i7 8550U 1.8GHz,SSD,301,619,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,17,809
HP,15.6,1920x1080,Intel,4,128GB,Windows 10,23389.92,Full HD ,HD Graphics 520,Core i3 6006U 2GHz,SSD,279,375,677,177,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,170,809
Asus,15.6,1366x768,Intel,4,256GB,Windows 10,31232.2,Regular,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,160,375,677,508,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,270,282
MSI,17.3,1920x1080,Intel,16,256GB,Windows 10,130482.72,Full HD ,GeForce GTX 1070,Core i7 7700HQ 2.8GHz,SSD +  2TB HDD,59,216,171,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,30,809
Asus,15.6,1920x1080,Intel,4,256GB,Linux,22111.2,Full HD ,HD Graphics 520,Core i3 6006U 2GHz,SSD,160,375,677,508,Intel,0,0,1,0,62,1,0,0,0,0,0,0,0,0,0,170,809
Dell,17.3,1920x1080,Intel,16,256GB,Windows 10,69210.72,Full HD ,Radeon 530,Core i7 8550U 1.8GHz,SSD +  2TB HDD,301,216,171,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
Dell,14.0,1920x1080,Intel,8,256GB,Windows 10,46833.12,Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,301,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
Asus,14.0,1920x1080,Intel,8,256GB,Windows 10,50136.48,Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,160,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
